Date,Open,High,Low,Close,Adj Close,Volume
2015-10-30,209.060,209.440,207.740,207.930,191.175,131076900
2015-11-02,208.320,210.620,208.170,210.390,193.437,86270800
2015-11-03,209.970,211.660,209.700,211.000,193.998,95246100
2015-11-04,211.350,211.500,209.720,210.360,193.410,96224500
2015-11-05,210.430,210.980,209.090,210.150,193.216,78408700
2015-11-06,209.740,210.320,208.460,210.040,193.115,110471500
2015-11-09,209.310,209.490,206.950,208.080,191.313,131008700
2015-11-10,207.510,208.600,207.190,208.560,191.755,75874600
2015-11-11,208.880,208.940,207.660,207.740,191.001,67846000
2015-11-12,206.500,207.060,204.820,204.840,188.334,121315200
2015-11-13,204.350,204.670,202.440,202.540,186.220,153577100
2015-11-16,202.320,205.690,202.180,205.620,189.051,117645200
2015-11-17,205.990,207.040,204.880,205.470,188.914,121123700
2015-11-18,206.040,208.900,205.990,208.730,191.911,121342500
2015-11-19,208.590,209.050,208.200,208.550,191.745,88220500
2015-11-20,209.450,210.120,208.860,209.310,192.444,94011500
2015-11-23,209.380,209.980,208.520,209.070,192.223,64931200
2015-11-24,207.870,209.830,207.410,209.350,192.481,98874400
2015-11-25,209.500,209.740,209.010,209.320,192.453,51980100
2015-11-27,209.430,209.800,208.860,209.560,192.674,37317800
2015-11-30,209.750,209.890,208.560,208.690,191.874,112822700
2015-12-01,209.440,210.820,209.110,210.680,193.704,97858400
2015-12-02,210.620,211.000,208.230,208.530,191.727,108441300
2015-12-03,208.830,209.150,204.750,205.610,189.042,166224200
2015-12-04,205.610,209.970,205.610,209.620,192.729,192913900
2015-12-07,209.230,209.730,207.200,208.350,191.561,102027100
2015-12-08,206.490,208.290,205.780,206.950,190.274,103372400
2015-12-09,206.190,208.680,204.180,205.340,188.794,162401500
2015-12-10,205.420,207.430,205.140,205.870,189.281,116128900
2015-12-11,203.350,204.140,201.510,201.880,185.613,211173300
2015-12-14,202.070,203.050,199.950,202.900,186.551,182385200
2015-12-15,204.700,206.110,202.870,205.030,188.509,154069600
2015-12-16,206.370,208.390,204.800,208.030,191.267,197017000
